,hit_id,worker,number_in_session,time_since_last_idea,content,previous_idea_index,similarity
0,http://purl.org/innovonto/mturk/hit/337F8MIIMZK0EA7V1YYF0106J9440K,http://purl.org/innovonto/mturk/worker/A13FUEPWBCLBUY,1,312.932,This device may be of good use to hunters out in the wild.  The device could positively identify specific game animals that the hunter are trying to locate and notify them.  This can save time and effort in their search.  The device could discern between the different types of animals that cross the sensors path.,-1,-1.0
1,http://purl.org/innovonto/mturk/hit/3W1K7D6QSBOH1UYUK7LUEE9YB84BZP,http://purl.org/innovonto/mturk/worker/A1CGDMOPDIC7EU,1,452.546,This technology could be used on doors so that it can unlock or open the door based on who is at the door. It could be trained to recognize a person and in turn it can unlock the door or open it based on whether that person is in it's database. This would be great when you are trying to get into your house and your hands are full. It would recognize that you belong in the house and it could open the door. ,-1,-1.0
2,http://purl.org/innovonto/mturk/hit/3W1K7D6QSBOH1UYUK7LUEE9YB84BZP,http://purl.org/innovonto/mturk/worker/A1CGDMOPDIC7EU,2,288.663,The could be used in the wilderness to track particular animals so that they can be counted and recorded. This could help researcher find out how many there could possible be in the wild and also it might be able to find new species. This could also help if tracking an endangered species to keep track of their numbers. It would be very helpful with it being weather resistant because it could potentially be in the wilderness for a long time. ,1,-0.058200228959321976
3,http://purl.org/innovonto/mturk/hit/3W1K7D6QSBOH1UYUK7LUEE9YB84BZP,http://purl.org/innovonto/mturk/worker/A1GD7ISOXO1XFZ,1,233.474,"Use the device as part of a home- or business-based alarm system where the motion of pets or humans could be programmed into the system to prevent false alarms. Other moving creatures, other than those programmed for ""ignore"" status would set off the alarm.",-1,-1.0
4,http://purl.org/innovonto/mturk/hit/3W1K7D6QSBOH1UYUK7LUEE9YB84BZP,http://purl.org/innovonto/mturk/worker/A1GD7ISOXO1XFZ,2,242.898,"The device could be used in a school situation to identify people moving through the halls who are not already programmed into the system. In this way, it might identify unwanted or unallowed visitors to the school who may present a danger.",3,0.0004265857860445976
5,http://purl.org/innovonto/mturk/hit/3W1K7D6QSBOH1UYUK7LUEE9YB84BZP,http://purl.org/innovonto/mturk/worker/A1GD7ISOXO1XFZ,3,261.894,"Hunters could use a series of the devices to ""stake out"" a hunting grounds and identify not only the presence of game, but the specific type of game in the area.",4,0.013906607404351234
6,http://purl.org/innovonto/mturk/hit/3W1K7D6QSBOH1UYUK7LUEE9YB84BZP,http://purl.org/innovonto/mturk/worker/A1GD7ISOXO1XFZ,4,182.305,"The device could be used to analyze changes in motion exhibited by an individual for, for example, medical diagnostics. Similarly, the analysis could be used to optimize a particular motion for sports (throwing, swinging a bat, golf swing, running motion, etc.)",5,0.005732154008001089
7,http://purl.org/innovonto/mturk/hit/3DWGDA5POFBZFCBSHD32NWJT1L71VW,http://purl.org/innovonto/mturk/worker/A20SL254675EOK,1,98.225,Add in large buildings to monitor elevator use in order to find the fastest route to a place. For example screens on hospital walls showing real time data. ,-1,-1.0
8,http://purl.org/innovonto/mturk/hit/3DWGDA5POFBZFCBSHD32NWJT1L71VW,http://purl.org/innovonto/mturk/worker/A20SL254675EOK,2,169.086,Use them to control small robotic systems in a manufacturing place.,7,0.07718441635370255
9,http://purl.org/innovonto/mturk/hit/3DWGDA5POFBZFCBSHD32NWJT1L71VW,http://purl.org/innovonto/mturk/worker/A20SL254675EOK,3,88.066,Use them when hunting to find and locate small pray or bugs. ,8,0.016919689252972603
